Designator,Mid X,Mid Y,Rotation,Layer
A1,195.9,-102.1,0.0,top
B1,186.5,-109.8,0.0,top
C1,177.1,-102.1625,270.0,bottom
C2,186.5,-94.4,270.0,bottom
C3,186.5,-109.8,270.0,bottom
C4,195.9,-102.1,270.0,bottom
C5,141.625,-101.975,270.0,bottom
C6,126.475,-101.975,270.0,bottom
C7,134.05,-109.55,270.0,bottom
C8,134.05,-94.4,270.0,bottom
D1,160.0,-117.5,0.0,top
DOWN1,134.05,-109.55,0.0,top
LEFT1,126.475,-101.975,0.0,top
R1,160.01,-113.5,0.0,top
RIGHT1,141.625,-101.975,0.0,top
U1,160.0,-98.99,0.0,top
UP1,134.05,-94.4,0.0,top
X1,186.5,-94.4,0.0,top
Y1,177.1,-102.1,0.0,top
